question,question_id,question_type,answer,focus,id,source,url,cui,semanticType,semanticGroup
What are the symptoms of ABCD syndrome ?,0000004-1,symptoms,"What are the signs and symptoms of ABCD syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for ABCD syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal auditory evoked potentials - Aganglionic megacolon - Albinism - Autosomal recessive inheritance - Hearing impairment - Hypopigmentation of the fundus - Large for gestational age - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",ABCD syndrome,0000004,GARD,https://rarediseases.info.nih.gov/gard/335/abcd-syndrome,C1838099,T047,Disorders
What is (are) Abdominal aortic aneurysm ?,0000006-1,information,"Abdominal aortic aneurysms (AAAs) are aneurysms that occur in the part of the aorta that passes through the abdomen. They may occur at any age, but are most common in men between 50 and 80 years of age. Many people with an AAA have no symptoms, but some people have a pulsing sensation in the abdomen and/or pain in the back. If the aneurysm ruptures, it may cause deep, severe pain; nausea; vomiting; fast heart rate; clammy skin; and/or shock. About 20% of AAAs eventually rupture and are often fatal. The condition has multiple genetic and environmental risk factors, and may sometimes occur as part of an inherited syndrome. When more than one family member is affected, it may be considered ""familial abdominal aortic aneurysm."" Treatment depends on the size of the aneurysm and may include blood pressure medications, or surgery to repair the aneurysm.",Abdominal aortic aneurysm,0000006,GARD,https://rarediseases.info.nih.gov/gard/9181/abdominal-aortic-aneurysm,C0162871,T047,Disorders
What are the symptoms of Abdominal aortic aneurysm ?,0000006-2,symptoms,"What are the signs and symptoms of Abdominal aortic aneurysm? The Human Phenotype Ontology provides the following list of signs and symptoms for Abdominal aortic aneurysm. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abdominal aortic aneurysm - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",Abdominal aortic aneurysm,0000006,GARD,https://rarediseases.info.nih.gov/gard/9181/abdominal-aortic-aneurysm,C0162871,T047,Disorders
Is Abdominal aortic aneurysm inherited ?,0000006-3,inheritance,"Is abdominal aortic aneurysm inherited? Abdominal aortic aneurysm (AAA) is thought to be a multifactorial condition, meaning that one or more genes likely interact with environmental factors to cause the condition. In some cases, it may occur as part of an inherited syndrome. Having a family history of AAA increases the risk of developing the condition. A genetic predisposition has been suspected since the first report of three brothers who had a ruptured AAA, and additional families with multiple affected relatives have been reported. In some cases, it may be referred to as "" familial abdominal aortic aneurysm."" A Swedish survey reported that the relative risk of developing AAA for a first-degree relative of a person with AAA was approximately double that of a person with no family history of AAA. In another study, having a family history increased the risk of having an aneurysm 4.3-fold. The highest risk was among brothers older than age 60, in whom the prevalence was 18%. While specific variations in DNA (polymorphisms) are known or suspected to increase the risk for AAA, no one gene is known to cause isolated AAA. It can occur with some inherited disorders that are caused by mutations in a single gene, such as Marfan syndrome and Ehlers-Danlos syndrome, vascular type. However, these more typically involve the thoracoabdominal aorta. Because the inheritance of AAA is complex, it is not possible to predict whether a specific person will develop AAA. People interested in learning more about the genetics of AAA, and how their family history affects risks to specific family members, should speak with a genetics professional.",Abdominal aortic aneurysm,0000006,GARD,https://rarediseases.info.nih.gov/gard/9181/abdominal-aortic-aneurysm,C0162871,T047,Disorders
What is (are) Aberrant subclavian artery ?,0000010-1,information,"Aberrant subclavian artery is a rare vascular anomaly that is present from birth. It usually causes no symptoms and is often discovered as an incidental finding (such as through a barium swallow or echocardiogram). Occasionally the anomaly causes swallowing difficulty (dysphagia lusoria). Swallowing symptoms in children may present as feeding difficulty and/or recurrent respiratory tract infection. When aberrant subclavian artery causes no symptoms, treatment is not needed. If the anomaly is causing significant symptoms, treatment may involve surgery. Children with symptomatic aberrant subclavian artery should be carefully evaluated for additional vascular and heart anomalies.",Aberrant subclavian artery,0000010,GARD,https://rarediseases.info.nih.gov/gard/5706/aberrant-subclavian-artery,C0431498,T019,Disorders
What is (are) Abetalipoproteinemia ?,0000011-1,information,"Abetalipoproteinemia is a condition characterized by the inability to fully absorb dietary fats, cholesterol and fat-soluble vitamins. Signs and symptoms appear in the first few months of life and can include failure to thrive; diarrhea; acanthocytosis; and stool abnormalities. Other features develop later in childhood and often impair the function of the nervous system, potentially causing slower intellectual development; poor muscle coordination; progressive ataxia; and an eye disorder called retinitis pigmentosa. Most of the symptoms are due to defects in the absorption and transport of vitamin E. Abetalipoproteinemia is caused by mutations in the MTTP gene and is inherited in an autosomal recessive manner. Early diagnosis, high-dose vitamin E therapy, and medium-chain fatty acid supplements may slow the progression of the nervous system abnormalities. Long-term outlook is reasonably good for most affected people who are diagnosed early. If left untreated, the condition can result in early death.",Abetalipoproteinemia,0000011,GARD,https://rarediseases.info.nih.gov/gard/5/abetalipoproteinemia,C0000744,T047,Disorders
What are the symptoms of Abetalipoproteinemia ?,0000011-2,symptoms,"What are the signs and symptoms of Abetalipoproteinemia? The signs and symptoms of abetalipoproteinemia usually appear in the first few months of life. They can include: failure to thrive in infancy digestive symptoms such as diarrhea and steatorrhea (foul-smelling stools) abnormal, star-shaped red blood cells (acanthocytosis) nervous system (neurologic) symptoms beginning in childhood such as slower intellectual development; peripheral neuropathy; poor muscle coordination; ataxia; and intention tremors eye (ophthalmologic) symptoms such as decreased night and color vision; retinitis pigmentosa in adolescence; and gradual deterioration of vision, often leading to blindness in the fourth decade of life The Human Phenotype Ontology provides the following list of signs and symptoms for Abetalipoproteinemia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Malabsorption 90% Abnormality of movement 50% Abnormality of retinal pigmentation 50% Incoordination 50% Muscular hypotonia 50% Visual impairment 7.5% Abetalipoproteinemia - Acanthocytosis - Ataxia - Autosomal recessive inheritance - CNS demyelination - Fat malabsorption - Peripheral demyelination - Pigmentary retinal degeneration - Retinopathy - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",Abetalipoproteinemia,0000011,GARD,https://rarediseases.info.nih.gov/gard/5/abetalipoproteinemia,C0000744,T047,Disorders
What causes Abetalipoproteinemia ?,0000011-3,causes,"What causes abetalipoproteinemia? Abetalipoproteinemia is caused by changes (mutations) in the MTTP gene. The MTTP gene gives the body instructions to make a protein needed for creating beta-lipoproteins. These lipoproteins are necessary for the body to absorb fats, cholesterol, and fat-soluble vitamins (vitamins A, D, E and K), and for transporting these substances in the blood. Mutations in the MTTP result in a lack of beta-lipoproteins, leading to an inability to absorb and transport these substances. This in turn leads to the nutritional and neurologic problems in affected people.",Abetalipoproteinemia,0000011,GARD,https://rarediseases.info.nih.gov/gard/5/abetalipoproteinemia,C0000744,T047,Disorders
Is Abetalipoproteinemia inherited ?,0000011-4,inheritance,"How is abetalipoproteinemia inherited? Abetalipoproteinemia is inherited in an autosomal recessive manner. This means that to be affected, a person must have a mutation in both copies of the responsible gene in each cell. Affected people inherit one mutated copy of the gene from each parent, who is referred to as a carrier. Carriers of an autosomal recessive condition typically do not have any signs or symptoms (they are unaffected). When 2 carriers of an autosomal recessive condition have children, each child has a: 25% (1 in 4) chance to be affected 50% (1 in 2) chance to be an unaffected carrier like each parent 25% chance to be unaffected and not be a carrier",Abetalipoproteinemia,0000011,GARD,https://rarediseases.info.nih.gov/gard/5/abetalipoproteinemia,C0000744,T047,Disorders
How to diagnose Abetalipoproteinemia ?,0000011-5,exams and tests,Is genetic testing available for abetalipoproteinemia? Yes. The Genetic Testing Registry (GTR) provides information about the genetic tests available for abetalipoproteinemia. The intended audience for the GTR is health care providers and researchers. Patients and consumers with specific questions about a genetic test should contact a health care provider or a genetics professional. Prenatal testing may also be available for pregnancies at increased risk if the mutations in the family have been identified.,Abetalipoproteinemia,0000011,GARD,https://rarediseases.info.nih.gov/gard/5/abetalipoproteinemia,C0000744,T047,Disorders
