question,question_id,question_type,answer,focus,id,source,url,cui,semanticType,semanticGroup
What is (are) A guide to clinical trials for cancer ?,0000001-1,information,"If you have cancer, a clinical trial may be an option for you. A clinical trial is a study using people who agree to participate in new tests or treatments. Clinical trials help researchers know whether a new treatment works well and is safe. Trials are available for many cancers and all stages of cancer, not just advanced cancer.  If you join a trial, you may get treatment that can help you. Plus, you will help others to learn more about your cancer as well as new tests or treatments. There are many things to consider before joining a trial. Learn about why you might want to enroll in a clinical trial and where to find one.",A guide to clinical trials for cancer,0000001,ADAM,https://www.nlm.nih.gov/medlineplus/ency/patientinstructions/000823.htm,C0006826,T191,Disorders
what research (or clinical trials) is being done for A guide to clinical trials for cancer ?,0000001-2,research,No information found.,A guide to clinical trials for cancer,0000001,ADAM,https://www.nlm.nih.gov/medlineplus/ency/patientinstructions/000823.htm,C0006826,T191,Disorders
what research (or clinical trials) is being done for A guide to clinical trials for cancer ?,0000001-3,research,No information found.,A guide to clinical trials for cancer,0000001,ADAM,https://www.nlm.nih.gov/medlineplus/ency/patientinstructions/000823.htm,C0006826,T191,Disorders
what research (or clinical trials) is being done for A guide to clinical trials for cancer ?,0000001-6,research,No information found.,A guide to clinical trials for cancer,0000001,ADAM,https://www.nlm.nih.gov/medlineplus/ency/patientinstructions/000823.htm,C0006826,T191,Disorders
what research (or clinical trials) is being done for A guide to clinical trials for cancer ?,0000001-7,research,No information found.,A guide to clinical trials for cancer,0000001,ADAM,https://www.nlm.nih.gov/medlineplus/ency/patientinstructions/000823.htm,C0006826,T191,Disorders
Do you have information about A guide to herbal remedies,0000002-1,information,"Herbal remedies are plants used like a medicine. People use herbal remedies to help prevent or cure disease. They use them to get relief from symptoms, boost energy, relax, or lose weight.  Herbal remedies are not regulated or tested like medicines.  How can you know what you are getting and if it is useful? This guide can help you choose and use herbals safely.",A guide to herbal remedies,0000002,ADAM,https://www.nlm.nih.gov/medlineplus/ency/patientinstructions/000868.htm,,,
What is (are) A1C test ?,0000003-1,information,A1C is a lab test that shows the average level of blood sugar (glucose) over the previous 3 months. It shows how well you are controlling your blood sugar to help prevent complications from diabetes.,A1C test,0000003,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/003640.htm,C0456984,T033,Disorders
Who is at risk for A1C test? ?,0000003-8,susceptibility,No information found.,A1C test,0000003,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/003640.htm,C0456984,T033,Disorders
What is (are) Aarskog syndrome ?,0000004-1,information,"Aarskog syndrome is a very rare disease that affects a person's height, muscles, skeleton, genitals, and appearance. It can be passed down through families (inherited).",Aarskog syndrome,0000004,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/001654.htm,C0175701,T019,Disorders
What causes Aarskog syndrome ?,0000004-2,causes,"Aarskog syndrome is a genetic disorder that is linked to the X chromosome. It affects mainly males, but females may have a milder form. The condition is caused by changes (mutations) in a gene called ""faciogenital dysplasia"" ( FGD1 ).",Aarskog syndrome,0000004,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/001654.htm,C0175701,T019,Disorders
What are the symptoms of Aarskog syndrome ?,0000004-3,symptoms,"Symptoms of this condition include: Belly button that sticks out, Bulge in the groin or scrotum, Delayed sexual maturity, Delayed teeth, Downward  palpebral slant  to eyes (palpebral slant is the direction of the slant from the inner to outer corner of the eye), Hairline with a ""widow's peak"", Mildly sunken chest (pectus excavatum), Mild to moderate cognitive problems, Mild to moderate short height which may not be obvious until the child is 1 to 3 years old, Poorly developed middle section of the face, Rounded face, Scrotum surrounds the penis (shawl scrotum), Short fingers and toes with mild webbing, Single crease in the palm of the hand, Small, broad hands and feet with short fingers and curved-in fifth finger, Small nose with nostrils tipped forward, Testicles that have not come down (undescended), Top portion of the ear folded over slightly, Wide groove above the upper lip, crease below the lower lip, Wide-set eyes with droopy eyelids , ",Aarskog syndrome,0000004,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/001654.htm,C0175701,T019,Disorders
How to diagnose Aarskog syndrome ?,0000004-4,exams and tests,"These tests may be done: Genetic testing for mutations in the  FGD1  gene, X-rays , ",Aarskog syndrome,0000004,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/001654.htm,C0175701,T019,Disorders
What are the treatments for Aarskog syndrome ?,0000004-5,treatment,Moving the teeth may be done to treat some of the abnormal dental features a person with Aarskog syndrome may have.,Aarskog syndrome,0000004,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/001654.htm,C0175701,T019,Disorders
Where to find support for people with Aarskog syndrome ?,0000004-6,support groups,"More information and support for people with Aarskog syndrome and their families can be found at: National Organization for Rare Disorders --  rarediseases.org/rare-diseases/aarskog-syndrome , NIH Genetic and Rare Diseases Information Center --  rarediseases.info.nih.gov/diseases/4775/aarskog-syndrome , ",Aarskog syndrome,0000004,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/001654.htm,C0175701,T019,Disorders
What is the outlook for Aarskog syndrome ?,0000004-7,outlook,"Some people may have some mental slowness, but children with this condition often have good social skills. Some males may have problems with fertility.",Aarskog syndrome,0000004,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/001654.htm,C0175701,T019,Disorders
What are the complications of Aarskog syndrome ?,0000004-8,complications,"These complications can occur: Changes in the brain, Difficulty growing in the first year of life, Poorly aligned teeth, Seizures, Undescended testicles, ",Aarskog syndrome,0000004,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/001654.htm,C0175701,T019,Disorders
Do I need to see a doctor for Aarskog syndrome ?,0000004-9,when to contact a medical professional,Call your health care provider if your child has delayed growth or if you notice any symptoms of Aarskog syndrome. Seek genetic counseling if you have a family history of Aarskog syndrome. Contact a genetic specialist if your provider thinks you or your child may have Aarskog syndrome.,Aarskog syndrome,0000004,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/001654.htm,C0175701,T019,Disorders
How to prevent Aarskog syndrome ?,0000004-10,prevention,Genetic testing may be available for people with a family history of the condition or a known mutation of the gene that causes it.,Aarskog syndrome,0000004,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/001654.htm,C0175701,T019,Disorders
What is (are) Aase syndrome ?,0000005-1,information,Aase syndrome is a rare disorder that involves  anemia  and certain joint and skeletal deformities.,Aase syndrome,0000005,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/001662.htm,C0265265,T019,Disorders
What causes Aase syndrome ?,0000005-2,causes,"Many cases of Aase syndrome occur without a known reason and are not passed down through families (inherited). However, some cases (45%) have been shown to be inherited. These are due to a change in 1 of 20 genes important for making protein correctly (the genes make ribosomal proteins). This condition is similar to Diamond-Blackfan anemia, and the two conditions should considered the same. A missing piece on chromosome 19 is found in some people with Diamond-Blackfan anemia. The anemia in Aase syndrome is caused by poor development of the bone marrow, which is where blood cells are formed.",Aase syndrome,0000005,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/001662.htm,C0265265,T019,Disorders
What are the symptoms of Aase syndrome ?,0000005-3,symptoms,"Symptoms may include: Absent or small knuckles,  Cleft palate , Deformed ears, Droopy eyelids, Inability to fully extend the joints from birth, Narrow shoulders,  Pale skin , Triple-jointed thumbs, ",Aase syndrome,0000005,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/001662.htm,C0265265,T019,Disorders
How to diagnose Aase syndrome ?,0000005-4,exams and tests,"Your health care provider will perform a physical exam. Tests that may be done include: Bone marrow biopsy ,  Complete blood count  (CBC),  Echocardiogram , X-rays, ",Aase syndrome,0000005,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/001662.htm,C0265265,T019,Disorders
What are the treatments for Aase syndrome ?,0000005-5,treatment,"Treatment may involve blood transfusions in the first year of life to treat anemia.  A steroid medicine called prednisone has also been used to treat anemia associated with Aase syndrome. However, it should only be used after reviewing the benefits and risks with a provider who has experience treating anemias. A  bone marrow transplant  may be necessary if other treatment fails.",Aase syndrome,0000005,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/001662.htm,C0265265,T019,Disorders
What is the outlook for Aase syndrome ?,0000005-6,outlook,The anemia tends to improve with age.,Aase syndrome,0000005,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/001662.htm,C0265265,T019,Disorders
What are the complications of Aase syndrome ?,0000005-7,complications,"Complications related to anemia include: Fatigue, Decreased oxygen in the blood, Weakness ,  Heart problems can lead to a variety of complications, depending on the specific defect. Severe cases of Aase syndrome have been associated with  stillbirth  or early death.",Aase syndrome,0000005,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/001662.htm,C0265265,T019,Disorders
How to prevent Aase syndrome ?,0000005-8,prevention,Genetic counseling is recommended if you have a family history of this syndrome and wish to become pregnant.,Aase syndrome,0000005,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/001662.htm,C0265265,T019,Disorders
Do you have information about Abdomen - swollen,0000006-1,information,A swollen abdomen is when your belly area is bigger than usual.,Abdomen - swollen,0000006,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/003122.htm,,,
What is (are) Abdominal aortic aneurysm ?,0000007-1,information,"The aorta is the main blood vessel that supplies blood to the abdomen, pelvis, and legs. An abdominal aortic  aneurysm  (AAA) occurs when an area of the aorta in the abdomen becomes very large or balloons out.",Abdominal aortic aneurysm,0000007,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/000162.htm,C0162871,T047,Disorders
What causes Abdominal aortic aneurysm ?,0000007-2,causes,"The exact cause of an aneurysm is unknown. It occurs due to weakness in the wall of the artery. Factors that can increase your risk of having this problem include: Smoking,  High blood pressure , Male sex, Genetic factors ,  An abdominal aortic aneurysm is most often seen in males over age 60 who have one or more risk factors. The larger the aneurysm, the more likely it is to break open or  tear . This can be life threatening.",Abdominal aortic aneurysm,0000007,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/000162.htm,C0162871,T047,Disorders
What are the symptoms of Abdominal aortic aneurysm ?,0000007-3,symptoms,"Aneurysms can develop slowly over many years, often with no symptoms. Symptoms may come on quickly if the aneurysm expands rapidly, tears open or leaks blood within the wall of the vessel (aortic dissection). Symptoms of rupture include: Pain in the abdomen or back. The pain may be severe, sudden, persistent, or constant. It may spread to the groin, buttocks, or legs., Passing out.,  Clammy skin .  , Dizziness., Nausea and vomiting.,  Rapid heart rate .  ,  Shock .  , ",Abdominal aortic aneurysm,0000007,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/000162.htm,C0162871,T047,Disorders
How to diagnose Abdominal aortic aneurysm ?,0000007-4,exams and tests,"Your health care provider will examine your abdomen and feel the pulses in your legs. The provider may find: A lump (mass) in the abdomen, Pulsating sensation in the abdomen, Stiff or rigid abdomen ,  Your provider may find this problem by doing the following tests: Ultrasound of the abdomen  when the abdominal aneurysm is first suspected,  CT scan of the abdomen  to confirm the size of the aneurysm, CTA (computed tomographic angiogram) to help with surgical planning ,  Any one of these tests may be done when you are having symptoms. You may have an abdominal aortic aneurysm that is not causing any symptoms. Your provider may order an ultrasound of the abdomen to screen for an aneurysm. Most men who are age 65 to 75, who have smoked during their life should have this test one time., Some men who are age 65 to 75, who have never smoked during their life may need this test one time. , ",Abdominal aortic aneurysm,0000007,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/000162.htm,C0162871,T047,Disorders
What are the treatments for Abdominal aortic aneurysm ?,0000007-5,treatment,"If you have bleeding inside your body from an aortic aneurysm, you will need  surgery  right away. If the aneurysm is small and there are no symptoms: Surgery is rarely done., You and your provider must decide if the risk of having surgery is smaller than the risk of bleeding if you do not have surgery., Your provider will want to check the size of the aneurysm with ultrasound tests. The recommended frequency depends on the size of your aneurysm. Ask your provider what is best for you.,  Most of the time, surgery is done if the aneurysm is bigger than 2 inches (5 centimeters) across or growing quickly. The goal is to do surgery before complications develop. There are two types of surgery: Open repair  - A large cut is made in your abdomen. The abnormal vessel is replaced with a graft made of man-made material.,  Endovascular stent grafting  - This procedure can be done without making a large cut in your abdomen, so you may recover more quickly. This may be a safer approach if you have certain other medical problems or are an older adult. Endovascular repair can sometimes be done for a leaking or bleeding aneurysm. , ",Abdominal aortic aneurysm,0000007,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/000162.htm,C0162871,T047,Disorders
What is the outlook for Abdominal aortic aneurysm ?,0000007-6,outlook,"The outcome is often good if you have surgery to repair the aneurysm before it ruptures.  When an abdominal aortic aneurysm  begins to tear  or ruptures, it is a medical emergency. Only about 1 in 5 people survive a ruptured abdominal aneurysm.",Abdominal aortic aneurysm,0000007,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/000162.htm,C0162871,T047,Disorders
Do I need to see a doctor for Abdominal aortic aneurysm ?,0000007-7,when to contact a medical professional,Go to the emergency room or call 911 or the local emergency number if you have pain in your belly or back that is very bad or does not go away.,Abdominal aortic aneurysm,0000007,ADAM,https://www.nlm.nih.gov/medlineplus/ency/article/000162.htm,C0162871,T047,Disorders
