question,question_id,question_type,answer,focus,id,source,url,cui,semanticType,semanticGroup
What is (are) Aarskog-Scott syndrome ?,0000001-1,information,"Aarskog-Scott syndrome is a genetic disorder that affects the development of many parts of the body. This condition mainly affects males, although females may have mild features of the syndrome.  People with Aarskog-Scott syndrome often have distinctive facial features, such as widely spaced eyes (hypertelorism), a small nose, a long area between the nose and mouth (philtrum), and a widow's peak hairline. They frequently have mild to moderate short stature during childhood, but their growth usually catches up during puberty. Hand abnormalities are common in this syndrome and include short fingers (brachydactyly), curved pinky fingers (fifth finger clinodactyly), webbing of the skin between some fingers (syndactyly), and a single crease across the palm. Some people with Aarskog-Scott syndrome are born with more serious abnormalities, such as heart defects or a cleft lip with or without an opening in the roof of the mouth (cleft palate).  Most males with Aarskog-Scott syndrome have a shawl scrotum, in which the scrotum surrounds the penis. Less often, they have undescended testes (cryptorchidism) or a soft out-pouching around the belly-button (umbilical hernia) or in the lower abdomen (inguinal hernia).  The intellectual development of people with Aarskog-Scott syndrome varies widely among affected individuals. Some may have mild learning and behavior problems, while others have normal intelligence. In rare cases, severe intellectual disability has been reported.",Aarskog-Scott syndrome,0000001,GHR,https://ghr.nlm.nih.gov/condition/aarskog-scott-syndrome,C0175701,T019,Disorders
How many people are affected by Aarskog-Scott syndrome ?,0000001-2,frequency,"Aarskog-Scott syndrome is believed to be a rare disorder; however, its prevalence is unknown because mildly affected people are often not diagnosed.",Aarskog-Scott syndrome,0000001,GHR,https://ghr.nlm.nih.gov/condition/aarskog-scott-syndrome,C0175701,T019,Disorders
What are the genetic changes related to Aarskog-Scott syndrome ?,0000001-3,genetic changes,"Mutations in the FGD1 gene cause some cases of Aarskog-Scott syndrome. The FGD1 gene provides instructions for making a protein that turns on (activates) another protein called Cdc42, which transmits signals that are important for various aspects of embryonic development.  Mutations in the FGD1 gene lead to the production of an abnormally functioning protein. These mutations disrupt Cdc42 signaling, which causes the wide variety of developmental abnormalities seen in Aarskog-Scott syndrome.  Only about 20 percent of people with this disorder have identifiable mutations in the FGD1 gene. The cause of Aarskog-Scott syndrome in other affected individuals is unknown.",Aarskog-Scott syndrome,0000001,GHR,https://ghr.nlm.nih.gov/condition/aarskog-scott-syndrome,C0175701,T019,Disorders
Is Aarskog-Scott syndrome inherited ?,0000001-4,inheritance,"Aarskog-Scott syndrome is inherited in an X-linked recessive pattern. The gene associated with this condition is located on the X chromosome, which is one of the two sex chromosomes. In males (who have only one X chromosome), one altered copy of the gene in each cell is sufficient to cause the condition. In females (who have two X chromosomes), a mutation would have to occur in both copies of the gene to cause Aarskog-Scott syndrome. Because it is unlikely that females will have two altered copies of this gene, males are affected by X-linked recessive disorders much more frequently than females. Females who carry one altered copy of the FGD1 gene may show mild signs of the condition, such as hypertelorism, short stature, or a widow's peak hairline. A characteristic of X-linked inheritance is that fathers cannot pass X-linked traits to their sons.",Aarskog-Scott syndrome,0000001,GHR,https://ghr.nlm.nih.gov/condition/aarskog-scott-syndrome,C0175701,T019,Disorders
What are the treatments for Aarskog-Scott syndrome ?,0000001-5,treatment,These resources address the diagnosis or management of Aarskog-Scott syndrome:  - Genetic Testing Registry: Aarskog syndrome  - MedlinePlus Encyclopedia: Aarskog syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,Aarskog-Scott syndrome,0000001,GHR,https://ghr.nlm.nih.gov/condition/aarskog-scott-syndrome,C0175701,T019,Disorders
What is (are) abdominal wall defect ?,0000002-1,information,"An abdominal wall defect is an opening in the abdomen through which various abdominal organs can protrude. This opening varies in size and can usually be diagnosed early in fetal development, typically between the tenth and fourteenth weeks of pregnancy. There are two main types of abdominal wall defects: omphalocele and gastroschisis. Omphalocele is an opening in the center of the abdominal wall where the umbilical cord meets the abdomen. Organs (typically the intestines, stomach, and liver) protrude through the opening into the umbilical cord and are covered by the same protective membrane that covers the umbilical cord. Gastroschisis is a defect in the abdominal wall, usually to the right of the umbilical cord, through which the large and small intestines protrude (although other organs may sometimes bulge out). There is no membrane covering the exposed organs in gastroschisis.  Fetuses with omphalocele may grow slowly before birth (intrauterine growth retardation) and they may be born prematurely. Individuals with omphalocele frequently have multiple birth defects, such as a congenital heart defect. Additionally, underdevelopment of the lungs is often associated with omphalocele because the abdominal organs normally provide a framework for chest wall growth. When those organs are misplaced, the chest wall does not form properly, providing a smaller than normal space for the lungs to develop. As a result, many infants with omphalocele have respiratory insufficiency and may need to be supported with a machine to help them breathe (mechanical ventilation). Rarely, affected individuals who have breathing problems in infancy experience recurrent lung infections or asthma later in life. Affected infants often have gastrointestinal problems including a backflow of stomach acids into the esophagus (gastroesophageal reflux) and feeding difficulty; these problems can persist even after treatment of omphalocele. Large omphaloceles or those associated with multiple additional health problems are more often associated with fetal death than cases in which omphalocele occurs alone (isolated).  Omphalocele is a feature of many genetic syndromes. Nearly half of individuals with omphalocele have a condition caused by an extra copy of one of the chromosomes in each of their cells (trisomy). Up to one-third of people born with omphalocele have a genetic condition called Beckwith-Wiedemann syndrome. Affected individuals may have additional signs and symptoms associated with these genetic conditions.  Individuals who have gastroschisis rarely have other birth defects and seldom have chromosome abnormalities or a genetic condition. Most affected individuals experience intrauterine growth retardation and are small at birth; many affected infants are born prematurely.  With gastroschisis, the protruding organs are not covered by a protective membrane and are susceptible to damage due to direct contact with amniotic fluid in the womb. Components of the amniotic fluid may trigger immune responses and inflammatory reactions against the intestines that can damage the tissue. Constriction around exposed organs at the abdominal wall opening late in fetal development may also contribute to organ injury. Intestinal damage causes impairment of the muscle contractions that move food through the digestive tract (peristalsis) in most children with gastroschisis. In these individuals, peristalsis usually improves in a few months and intestinal muscle contractions normalize. Rarely, children with gastroschisis have a narrowing or absence of a portion of intestine (intestinal atresia) or twisting of the intestine. After birth, these intestinal malformations can lead to problems with digestive function, further loss of intestinal tissue, and a condition called short bowel syndrome that occurs when areas of the small intestine are missing, causing dehydration and poor absorption of nutrients. Depending on the severity of the condition, intravenous feedings (parenteral nutrition) may be required.  The health of an individual with gastroschisis depends largely on how damaged his or her intestine was before birth. When the abdominal wall defect is repaired and normal intestinal function is recovered, the vast majority of affected individuals have no health problems related to the repaired defect later in life.",abdominal wall defect,0000002,GHR,https://ghr.nlm.nih.gov/condition/abdominal-wall-defect,C0238577,T033,Disorders
How many people are affected by abdominal wall defect ?,0000002-2,frequency,"Abdominal wall defects are uncommon. Omphalocele affects an estimated 2 to 2.5 in 10,000 newborns. Approximately 2 to 6 in 10,000 newborns are affected by gastroschisis, although researchers have observed that this malformation is becoming more common. Abdominal wall defects are more common among pregnancies that do not survive to term (miscarriages and stillbirths).",abdominal wall defect,0000002,GHR,https://ghr.nlm.nih.gov/condition/abdominal-wall-defect,C0238577,T033,Disorders
What are the genetic changes related to abdominal wall defect ?,0000002-3,genetic changes,"No genetic mutations are known to cause an abdominal wall defect. Multiple genetic and environmental factors likely influence the development of this disorder. Omphalocele and gastroschisis are caused by different errors in fetal development.  Omphalocele occurs during an error in digestive tract development. During the formation of the abdominal cavity in the sixth to tenth weeks of fetal development, the intestines normally protrude into the umbilical cord but recede back into the abdomen as development continues. Omphalocele occurs when the intestines do not recede back into the abdomen, but remain in the umbilical cord. Other abdominal organs can also protrude through this opening, resulting in the varied organ involvement that occurs in omphalocele.  The error that leads to gastroschisis formation is unknown. It is thought to be either a disruption in the blood flow to the digestive tract or a lack of development or injury to gastrointestinal tissue early in fetal development. For reasons that are unknown, women under the age of 20 are at the greatest risk of having a baby with gastroschisis. Other risk factors in pregnancy may include taking medications that constrict the blood vessels (called vasoconstrictive drugs) or smoking, although these risk factors have not been confirmed.",abdominal wall defect,0000002,GHR,https://ghr.nlm.nih.gov/condition/abdominal-wall-defect,C0238577,T033,Disorders
Is abdominal wall defect inherited ?,0000002-4,inheritance,"Most cases of abdominal wall defect are sporadic, which means they occur in people with no history of the disorder in their family. Multiple genetic and environmental factors likely play a part in determining the risk of developing this disorder.  When an abdominal wall defect, most often omphalocele, is a feature of a genetic condition, it is inherited in the pattern of that condition.",abdominal wall defect,0000002,GHR,https://ghr.nlm.nih.gov/condition/abdominal-wall-defect,C0238577,T033,Disorders
What are the treatments for abdominal wall defect ?,0000002-5,treatment,"These resources address the diagnosis or management of abdominal wall defect:  - Cincinnati Children's Hospital: Gastroschisis  - Cincinnati Children's Hospital: Omphalocele  - Cleveland Clinic: Omphalocele  - Genetic Testing Registry: Congenital omphalocele  - Great Ormond Street Hospital for Children (UK): Gastroschisis  - MedlinePlus Encyclopedia: Gastroschisis Repair  - MedlinePlus Encyclopedia: Gastroschisis Repair--Series (images)  - MedlinePlus Encyclopedia: Omphalocele Repair  - MedlinePlus Encyclopedia: Omphalocele Repair--Series (images)  - Seattle Children's Hospital: Gastroschisis Treatment Options  - Seattle Children's Hospital: Omphalocele Treatment Options  - The Children's Hospital of Philadelphia: Diagnosis and Treatment of Gastroschisis  - The Children's Hospital of Philadelphia: Overview and Treatment of Omphalocele  - University of California, San Francisco Fetal Treatment Center: Gastroschisis  - University of California, San Francisco Fetal Treatment Center: Omphalocele   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",abdominal wall defect,0000002,GHR,https://ghr.nlm.nih.gov/condition/abdominal-wall-defect,C0238577,T033,Disorders
